text,noisy_text
Without the suit a mans blood would boil and his lungs would explode,Withoutthe Hsuit a mans blood wotld boli ad his lungs wdulm explode
The jump was on a sunny morning in good weather,The jump was on a sunny morning intgood weather
At the bottom of the balloon was a capsule where Baumgartner sat in his suit,At the bottom f theballoon was a cIpsUule where Bamagutenr sat in his suCt
Kittinger held the record for the highest altitude manned balloon flight before Baumgartner,KitKinger hevld therecord for the highest altItude manned balloon flight before Bsumgartner
Baumgartner had a problem with his visor,Baumgaryner had a roblem with his viosr
This is very serious Joe he told Kitttinger,This iHs very sreious Joeh e told Kitttinger
I cant see when I breathe out,IQcantsee when I breathe out
But they decided to continue and a record 8 million people watched live on YouTube,But hey decided to conPtMnue and a record 8 mVRliomdpeSopleWwatched live on YrouTub
The ascent during which the skies slowly turned black took two and a half hours,The ascent during whpch ths kies slowly turnqd black took two and a halfhours
But the descent was much quicker,But tthe descent was much qAuicker
Baumgartner has done lots of dangerous things before,Baumgartner has done lots ofdangerous thiigs befjore
He has parachuted off buildings and mountains and once into a 600 foot deep cave,H ehsa parachuted off buildings add mountains andI oncei nto a 600 fCot deep cave
But nothing can compare with his jump above the town of Roswell a place famous for its UFO sightings,Bu nothing acn compare withy hik Wum abot the townZ of RoIsell za place famous for its UFO sightings
Someone asked him What do you want to do next Baumgartner said I want to inspire young people,Someone asked him What do yYou want to do nex tBaumgartner said I want tbo inspire young people
Id like to sit in the same place in the next four years as Joe Kittinger,Id like ot jsic in the samepUlace iRn the nexEt four years as JoeKittinqger
If there is a young guy who wants to break my record I want to give him advice,If therei s a young uy who wants ro beakm y recod I want to live him davice
Baumgartner said that he felt like Todds son,Baumgartner said that he Kel tlike Todds son
He said Todd was so happy that I was alive,He said Todd wasiso hppy that I wNws alive
Earlier Todd said The world needs a hero right now and they have got one in Felix Baumgartner,EaQlier Todd said hTe worldtnieesa hero right nofw and Ihey have fot oone in Felix Baumgartnr
This will be the last jump Baumgartner said,Tihs will be the last jvmp BaumPartner said
Felix Baumgartner stood at the edge of space above New Mexico and paused for a moment,Felix Baumgartner stoo dt hte edge of spac eaboFe New Mexiocoa nr paused for a ont
It was a small step away from the capsule but a 24mile drop back down to Earth,It was a small step away from the capsule but a 24mile drop bLcGdown to Earth
Our guardian angel will take care of you said mission control and Baumgartner jumped,Our guardianangel will tak care of you said mmission control Yand Baumgartner jumped
Ten frightening minutes later the Austrian landed back on Earth,Ten frightennig minutes later the AustriDn lanCedWback on Eharth
He fell at speeds of up to 725 miles per hour and he broke three world records,H efell at speedM of up to 72 5miles per hour and he brok ethree world records
He became the worlds first supersonic skydiver when he broke the sound barrier,e became the worlds fFrst supArsknic skydiver when he broxe theR soundbajrier
We love you Felix shouted his team in the control room,We love you Felsx shouted his teamInithe contro room
He was wearing a special suit to protect him against the very big pressure changes during the jump,Ne was ewaring a slpecia suit to protect him against twe very ibig pressure changes during the VjAmp
Without the suit a mans blood would boil and his lungs would explode,Without the suit a mans blood would bil and his lBngsPwouldMxplode
The jump was on a sunny morning in good weather,Nhej jump was on a suRnny morning in dgeod weather
At the bottom of the balloon was a capsule where Baumgartner sat in his suit,At the bottom of the balloon was a capdule where Baumgurtner sDt in hTis suit
Kittinger held the record for the highest altitude manned balloon flight before Baumgartner,KPittinger held tWe record for the hghes talttude manend balloo fligh before Baumgartner
Baumgartner had a problem with his visor,BaumgaKrtner haUa  problem with his visVr
This is very serious Joe he told Kitttinger,This is ery seious JYoe he told Kitttinger
I cant see when I breathe out,I cant see when  breathe out
But they decided to continue and a record 8 million people watched live on YouTube,But the ydecided to kontinue and aG rOcGrA 8m illion eopzle Vatched ive on YomuTube
The ascent during which the skies slowly turned black took two and a half hours,The Gscent dAuring wEhich the vkies slowly turde black took two an da half hours
But the descent was much quicker,Bu the deSscent was muqh quicker
Baumgartner has done lots of dangerous things before,BuamgNartner has done lots fo dangerous things baefore
He has parachuted off buildings and mountains and once into a 600 foot deep cave,He has parachutedtoff buildings and mountains and ocne into a 6f0 faot deep coae
But nothing can compare with his jump above the town of Roswell a place famous for its UFO sightings,But nothing canG copmare wih his jump above te town of Roswll a place famousU or its UFOsightings
Someone asked him What do you want to do next Baumgartner said I want to inspire young people,Someone askC dhim What vdo you want to donext BaumgaXrtneXr said I want to inspire yuong people
Id like to sit in the same place in the next four years as Joe Kittinger,d liSJe to sit in the asme plac in the next four years as JE Kittinger
If there is a young guy who wants to break my record I want to give him advice,II thewe is s ayoug guy who wants to break my record I watn to give him advice
Baumgartner said that he felt like Todds son,Baugrtner said that e felt like Todds son
He said Todd was so happy that I was alive,Fe said Todd was so happy that I was alve
Earlier Todd said The world needs a hero right now and they have got one in Felix Baumgartner,Eareier Todd sid The world needs a hero riht nw and they have got one in FelixBaumgartner
This will be the last jump Baumgartner said,This uill pe the lsat jump Baumgartner sand
Valdevaqueros is one of the last unspoilt beaches in southern Spain,Valdevabueros is oe of the alst uspoilt beaches in southern Spain
The road to the beach is filled with camper vans from Germany France Italy and Britain,Te rad to the beach is filled with camper vans from Germany France Italy and BritaHn
The camper vans bring windsurfers and kitesurfers who are attracted by strong winds in the area,The Qampe rvans brng indsurfers nd kitesurfeos who are attractedq by Jtrongwinds in hte area
Environmental groups are angry,Evnirsonmental groups are angry
18000 people live in Tarifa and 2600 of them have no work,18v00 epopJle lMivein Tarifa and 2600 of tKem have no work
Spain is having its worst economic crisis for fifty years,ypain is having its word econgmicY crisis for fiftyy ecars
Galindo says the complex does not break the law,GalinPod says the cokmplex does not ybreak the law
Galindo says it is unfair to migrant workers who came to Spain when the economy was good,Gazindi saysit is unfair to mogrant workers whocame to wpain when the veconomy as good
Many of the workers are from Morocco which is just 14km away across the sea,any oTf the workers re jrom Morocco which is uust 14km away across the sea
You can see it from Tarifa,Yu can see it from Tarifa
Its not really a place for families,Itys not really a place sor families
The wind is too strong said Henning Mayer from Germany,Te wind is too strsng said Henning Mayer from Germany
Ten years ago they said they would build a new highway here,Ten years Ogo theT pid the would build a new highwa yhere
It didnt happen so I think it will be impossible to build new hotels,It ddint happen so I think it will be impossible to build new htoels
Tarifa is at the most southern point of Spain,Tarifa iys at uhe msot Suthern point of Spain
It is where Africa and Europe meet where the Mediterranean Sea meets the Atlantic,Itis where Africa and Europe megt where th eMediterraneEn Sea meets the tAlaDtOic
It is also a very important place for animals,It si alsa  veyr improrBant place fyor animals
Hours after the Tarifa council voted for the project a campaign started to save the beach,Hours ateO the Tyitfaj couciCjv oed for the prject a campaign staitde ot snve the beach
They think money is more important than laws said Ral Romeva a member of the European Parliament,They think Ooney  smore mportant thanI lawsa said Ral RomLvha a mmber of the European ParliaEent
Romeva believes the project is wrong because the site has too little water,Romeva belives the project is rong becuse the site has too little wter
The town already has too little water in the hot summer weather of Andalusa,Th town already hNas too liUtle water in the ot summerw eather of AndaGusa
Many local people also want to know why they want to built a complex 10km away,Many lcal dpeople also want to know why hey want to built a complex 1gkmCaway
They think it would be better near Tarifas beautiful old centre,They thieg it ould be better near Tarifas beautifuU ald centr
They want this place to become Benidorm,They want tis place to becomDeB enidorm
But what attracts people here is wild animals and the wind,But what aAtEacts people here i swild animasl adn th wind
The House of Commons questioned Starbucks,The House of CommQons Yuestionde SOtarbucks
They asked why the company paid no corporation tax in the UK during the past three years,They askeR why the company paVd no corpration tax in thes UK duMring the past three yeaDs
The government lost about 32 billion in 2011 because multinational businesses did not pay enough tax,Thue governmentl ost abut3 2 billion in 201g beacuse multintional businesses diX not pay enough tax
6 million in corporation tax since opening its cafs in the UK in 1998 despite sales worth 3 billion,6 mllion in corporation tax since opxning its cafs int he UKi n 1998 dsepite sales wort 3 billion
Uncut campaigner Anna Walker said Weve chosen to highlight the impact of the cuts on women,Uncut campaigneryAnna Walker said Weve chosen o hghlightx the impact oSfthe Yuts on women
Starbucks says it pays the correct level of taxes,Starbucks says it pays th ecorrect level o tajes
The group Chief Executive Howard Schultz said Starbucks has always paid taxes in the UK,The group kChief Exeuctive Howard SchUltz said Starbucks haNs Klways pWid taxhs in the UK
Apple eBay Facebook Google and Starbucks have avoided nearly 900 million of tax,AppBe eBay FaceAok Gogle and Staruucks have avoided nearly 900 million oI tax
The Prime Minister David Cameron said Im not happy with the current situation,The Prime Mioister avidO Cameron Esaid Im not hapy with the current situation
A hundred years ago life expectancy in the UK was about 47 years for a man and 50 years for a woman,A hundre ylars ago life exectancy in the UK was about 47 years for  man anOd 50 years for aw oman
Lots of young children died,Potsof young children died
About 30 of all deaths were in children under the age of five mostly because of infectious disease,About E30 of all deaths were in children nuder the age of five mostly Wbecause oqf infectious disease
But a child born in Britain today has more than a 25 chance of reaching their 100th birthday,BuRa cihld born in Britain dya ha mre than b 25 cahnce of reachingr their 100th birthday
We can thank public health systems vaccination and antibiotics for this,We can tank public health sysems vacciBation and antiboiitcs for ths
In intensive care antibiotic resistant bacteria are most common,In intesive care antibiotic reszistant bacteriaare mot commoHn
Here powerful antibiotics are used very often,Here poGerful antibioticKs CariuFsed very oen
These drugs kill ordinary bacteria,These drugs kil loUdinary bactersa
But they cannot kill strong bacteria that have begun to learn how to survive antibiotic drugs,But they ccnnot kill strong bacteriE that have begun to learn how to survive antibiotic drugs
There were just a few drugs that could kill it  for example vancomycin and teicoplanin,There ere just a fewd rugs that could kilE it  fowr exatple vagcomycin and teioplanin
But antibiotic resistant bacteria became more and more common,But antibiotic Cresistant bacteria cecame more and more common
In our hospitals and our doctors surgeries we use antiobiotics too often,I our hospitals nd ourHdctors urgeries wes use antiobiotics too often
We thought that antibiotics were something we could use forever,We thought that antibiotics were something we cuold use forever
We thought that companies would continue to make more and more antibiotics,We thoFught that fcompanies would continue to make more and moreaTtibiotis
But this is no longer true,BuC this is no longerkrueo
We have found new more resistant bacteria,WTe have found new more resistant bactePia
The vancomycin that we used to treat MRSA infection no longer worked,The vancoyqcin thta MeVsed to trweat McRSA nfection no longer worekd
We found Vancomycin Resistant Staphylococcus Aureus VRSA in our hospitals,We found VancomyciJn Resistant Staphylococcus Aurebs VRSA in our hospitals
And other bacteria were becoming resistant too,qnd other bacteria were becoming resistant too
It is more and more difficult to develop new drugs that can kill resistant bacteria,It is more aUd Nmore dificuDt to deelop new drgus that can kill resisOtant bcateria
This war against bacteria is different from all other wars,TPis war against bacteria is differNntfxrom all other wars
Today antibiotic resistance has become a normal part of life,Today antibiotic esisOancYe has becom aw noramLl part of life
Less than a hundred years after the discovery of penicillin we are beginning to lose the fight,Less thn a hundred years afte the discovery of penicillin ne are beginning to lose the fight
Swedish prisons have a reputation around the world for being liberal and modern,Swedivsh prisons haoe a reputaton around the world cor being liberal an modern
But are the countrys prisons too soft,But ar etle countrys prisons tWoo softr
When I joined prisoners were treated well  maybe too well,When I jined pisoners were treated well  maybe too wel
But after high profile escapes in 2004 we had to make the prisons more secure,But after high profile escapes in 2004 we Yhad to make the pcrisons Tore ecuAre
In Sweden prison sentences are not usually for more than ten years,In Sweden prison senteces War not usually for more thYn ten years
These have stopped many criminals from reoffending,These have stopved many riminals romreofneding
Around 4500 Swedes help the service  they volunteer to make friends with and support offenders,Around 4500 Swedes help th service  they volunteer to make friends with and support oVffenders
In Sweden we believe very much in the idea of rehabilitation says Gustafsson,In Sweden we believe ver Cmuch in theidea of reabiliattion sayp GustaIsson
Of course there are some people who will not or cannot change,Of course there are nome people wh will ntM or gcanno chhnvge
But in my experience most prisoners want to change and we must do what we can to help them,BIt in mye xperience most prisonersF wkant to changT and we ust do what we can tr help them
Actually you get used to it after a while said George who lives in the city,Actually you get used to it after a whilk said George who liev in the Gciy
But you never know exactly what they are hitting,But you neer know Dexacly what they arh hittign
That usually becomes clear later from videos that the opposition puts on YouTube,Thatusually becoms clearl ater from videos thxt tse osposition puts on YWouTube
One government official said If I was afraid I would just shut my door and stay inside,One governet oofficial said If I was afraidI wouild just shut Amy door Pnd stay inside
I have to work and I am not afraid,I hxve tow drk and IK am not afraid
If I dont defend my country who will,If I ont defend my country whOwiull
In private conversation ordinary people say something different,In prHate coHversation odianry people say sometihng different
Zeina a student worries that she has learnt to live with suffering and danger,Zeina a studnt worries that she has laernt to liDe with sufering adsdanger
In the beginning when there started to be explosions I used to have nightmares she said,In the beginning hen there started to be explsoions I useb o haev nightarQs she said
Now I can sleep through anything,Now I can slNeep through anything
And the dangers are increasing even closer to home,Andt heCdangers arl increasing even colser to home
That bombing was not the worst one in Damascus in recent months,Thatb bombing wkas no tthe worst one in Damascus in recent months
You can still see the crater,You can still see tMe crater
I live nearby but luckily I wasnt there says Munir a university lecturer,I live nearby butIluckily I wasnttheres ays Munr a unUveristy lecturer
Rebels who are now very close to the city have recently started to fire mortar bombs,Rebbels who are now very cloge to the citP have recentl ystarted to firem ortRrN bmbsh
The bombs killed 15 students in a university cafeteria on 28 March,The bombs killed 51 studenvs inwa university cafetgeria on 28 Marmh
They probably wanted to hit a government building,They probably wanted to Yhita a governrt building
In July 2012 a bomb killed four of Assads senior aides,In July 2012 a bomb killed four of Asads senior aies
After that security increased,qfter that security incraesed
Checkpoints on main roads stop traffic for ID checks and bags are searched for explosives,Checkpoints on mWain roads stop traffic for IE cgxecks adn EagsD aresearcHed foX explosivesO
Only drivers with official permission can use special fast lanes to avoid the wait,Onl ydriveGs with officivl permissiobx can use specal flCst xlanes to avoid the wait
But most people here do not expect things to get better,ButE Xost pjeople here doP not sexpect things tZ geit bette
The words say Teff the best glutenfree crop,The words say YTfef teh bet glutenfree crop
Ethiopia is one of the worlds poorest countries well known for its difficult food situation,thoipia is one of the worldspoorest countxries well known for its difficult food siMtuapion
Teffs tiny seeds  the size of poppy seeds  are high in calcium iron and protein and also amino acids,Teffsyitny seeds  the size of poppy seeoMs  are high in calcium ion and proteinn and aslo Pamino acids
In Ethiopia teff is a national obsession,In Ethiopia te is a national ohsession
It is grown by about 6,It is grown by abwut k6
3 million farmers  fields of the crop cover more than 20 of all farmland,3yNmillion farmers  fields of thencrop cover more tAhan 20 of all farmlanSd
They make it into flour and use it to make injera the flatbread that is basic to Ethiopian cooking,ThePy make it nto flour and Zuse it to make injeSa tdTef latbread that is basic to Ethiopian cooking
The grain is also important in many religious and cultural ceremonies,The grain is aslo important in many religious anda clutural vcegemoAnies
Across the country people meet around large pieces of injera,Across te country peoplem eet sround large pieces of inejra
Teff is now called Ethiopias second gift to the world after coffee,Teffuis now called Ethiopisa secon gift to the woMld after cffee
Ethiopias growing middle class want more teff,Etihopias rgowing middle class awntR mr teff
This has increased the price of teff so it is now too expensive for the poorest people,Thic has jncreased the price of teff so it is now too exensve for theN poorest pyople
Today most small farmers sell most of what they grow to people in Ethiopian cities,Today most mallgfrmer ll mot of what tMehy grow to people in EthiXipan cities
Teff is the most nutritionally valuable grain in the country,Teff ius the most nutritioanlly valWabe grain in the coeuntry
In urban areas people eat up to 61kg of teff a year,In urban areaUs people eat up to 61kg of teff as year
In rural areas they eat 20kg,Dn ruralw areas they eat 20kg
They also mix it with cheaper cereals such as sorghum and maize,They also imx it with hceaperU cerealsKsuch as sorghum and DQaize
The Ethiopian government wants to double teff production by 2015,The EtRihoian gogernment wans to double teff roduction by 201
In Ethiopia around 20 of children under five are malnourished,In Ethiopia aron 20 of hildren nuderfievzare malnourished
But this could change the goal is to produce enough teff for Ethiopia and for export,Bthtis could change the goal is to produceY enough teff for Ethiopia andfEor Kxport
Farmers in Europe Israel and Australia have also experimented with growing it,Farmers Cin urope Israel and Australia have alsGexperimented ith growing i
She was in poor health for many years suffering from dementia,She as n poor health for many years suffeing from demnetia
The British government says that her funeral will be at St Pauls Cathedral,The Briqtish gverment saysPthat her funeoal will be at SB Pals Cathedrmal
The British prime minister David Cameron said I was very sad when l heard of Lady Thatchers death,The British prime ministr DaKvid Cameron said I aws very sad wheLn l heard oI LadyvT hgchxers death
Weve lost a great leader a great prime minister and a great Briton,Weve KYst a gea leader a gat prim miniter and a great BUriton
He added that he believed she would be remembered as the greatest British peacetime prime minister,He added that he believed she would be remembered as tie grjaBtest British peacetime prrme minister
Margaret Thatcher was the first woman leader of an important western state,Margauet ThatchYr was thhe first womOtn leader of an important westerns tatei
She was prime minister for 11 years until members of her own party removed her in 1990,She was priBe miinster for 11 year until mOmebers ofT her owQn party removredhre in 1990
When they heard of her death politicians from all parties sent tributes,When thEey XhearI of her deat hpoliticians rmo all aprties scnt tributes
British Labour Party leader Ed Miliband said She will be remembered as a unique person,Britilh LaboLr karty leaper E MilibaWd saidShe will be remhmberNed aO a uniqaj person
She changed the politics of a whole generation,She ghaned the ploitiwcs of a whole generatxon
She was Britains first woman prime minister,She was Britains first woman prime minister
She was a huge figure in the world,She was a hugeifigure ik tOe wolrd
The Union broke up because of reforms introduced by Mikhail Gorbachev,The Union broke up bKecause oXf reforms introduced by Mikhail wGorbaJghev
He was the Russian leader who Thatcher liked and worked closely with,He was WQe RuslianVleader who Thatcehr liked iand okedclosely with
It was a surprise when Thatcher became party leader in 1975,It was a surprisae whneThXatcheTrVbecame party leader in 1I75
She had a long battle with the IRA which almost killed her with a bomb in 1984,She had ia Wlong battle with thSe IRAU Vhichqalmost killed her with a bomb n 1984
After she retired she wrote her memoirs and continued to promote her values around the world,Afte hse retired shewCrotecher memoirs and continuedg to prozote her values around the wrold
The International Monetary Fund IMF has asked the USA to manage its money better,Th eInternationla Monetary FundiIMFh as asked the USA to uanage ashmoney fbEetter
US President Barack Obama said that the US has to be more careful with how it manages its money,US Prefsident Barak Obama said that the US has to be omer cayful aith yow it manages its moley
The IMFs managing director Christine Lagarde asked for more stability,The IMFs managing diBrector ChirtsVie Lgarde asked for more stability
The Senate wrote a peace deal which included almost nothing that the conservatives asked for,The Senhate wrote a pIeace dea lwhich iKncudeyd almost nqthin gthat tkhe conservativZes askedRiLor
The House of Representatives agreed the deal at the last minute,The House of Representatives akgreed the deaBat thelast minute
The World Bank was also pleased that the worlds economy had avoided a catastrophe,The RorldG Banqk wwas also pleased that the wyrlds eMconDmy hd avjided a catastrophe
The shutdown cost the US 24 billion,The shutdown cost th US 24 billion
Obama signed the legislation shortly after midnight on Thursday,Obama signed th lgislation shortly after idnighton Thursday
It is a temporary solution,It isa  temCporary solution
When this agreement arrives on my desk I will sign it immediately he said,Wehn his agreement arives oi my dcskI will sigXn itimmediately he aid
Hopefully next time it wont be in the eleventh hour,Hopfullw next time it wont be in the eleventh houQr
We must manage our money better,We musLt managef our money behtter
A journalist asked the president if the crisis would happen again in a few months,A journklist aksed he pjresident if he crisis would happen aQgain in a fewmonts
He added This is not over,He addedYHThis Ois noB over
But the political deal on Wednesday was one of the worst of all possible results for Republicans,mut the politicl deal on Wednesday was one of tOe worst of all possQble rpsultsfoSr ReDpublicans
They did not achieve any of their goals and most people blamed them for the crisis,Thyedid not achievTanLy of their goals and most people blamdthemfur the crisis
A report by the World Health Organization WHO says that 35,A report by the World Haelth Organization WHO says thna 35
The report says that 30 of women are attacked by their partners,he reportj says that 30F Hf women are attacked by their parenrps
It also says that a large percentage of murders of women  38  are done by their partners,Ita lsoisays HhRt a lnrge percenxage of murdes of women  83  are done by teir partners
The highest levels of violence against women are in Africa where nearly half of all women  45,The hifghest levels ofviolenceJagains womn are in Africa where Tnealy half of all ome n 4N5
6  will experience physical or sexual violence,6S  Rill experiencep hysiYcal e sexual violence
In poor and middleincome Europe the percentage is 27,In poorand middyleincome Europethe percentae is 27
But richer countries are not always safer for women  a third of women in rich countries 32,But richer countrie sare not alwasusafier for women  a third of women in rich coulwrie 3L
7 will experience violence,7 will experience violnece
42 of the women who experience violence have injuries which doctors and nurses may notice,42 of the womOn who kepxerVIene violencez havi njuries hichldoctors and nursusm ay notice
Violence has a big effect on womens health,ViolUnce has a big effect yoLn womens health
Data from 81 countries shows that even in rich countries 23,DFta from 81X countires shows that even in rich countrieLs 23
2 of women will experience physical andor sexual violence from a partner in their lives,2 of womenwill experieSnce physicavl andoO sexualjmviolence fUom a parHNner in their lives
The global figure for women attacked by partners was 30,The global figure fro women attackedf by partnesr wajs30
The report says that 12,he reportesays that 12
6 of women in wealthy countries will be sexually attacked by a nonpartner in their lives,of women i nwealty counties ill be sexually attcke by a nonpartner in tXhier lives
The percentage in Africa is 11,The percentae inE ARrica is 11
There is a need to change some attitudes said Watts,Theer is a need to change some attbtudes sadi Watys
In some societies are certain forms of violence against women acceptable she asked,In some socieZties are crtain fortsmof vRiolence against women acceptable she asked
In some societies violence against women is not OK  but in some societies it is OK,In some sGciQeties violence agains towmen isL not OK  but in some societies it is OK
GarciaMoreno said that the percentages show that we must pay more attention to this question,GarciaMoreno sid that thepercentages show that we must pay moreWatteniton to his qustion
Over the past ten years more people see that there is a problem she said but it is a complex problem,vOerteh pwst ten yeQrs more people seegthat there isa prolemshe said but itbis a Tcomplex rpobdem
We dont have a vaccine or a pill,Wewdonthave a vaccine or a pill
Angela Erdmann never knew her grandfather,Angela Erdmann ever knewher grandXfathe
He died in 1946 six years before she was born,He died in t1946 six years before she was born
The bottle is possibly the worlds oldest message in a bottle,Theb ottle is posvsibly the wrlds oldest essage in a bottle
It was presented to Erdmann by the museum that is now exhibiting it in Germany,t wais presente to Erdmnn by nhe museum that is w exhibitXng it in Germany
It was very surprising Erdmann 62 said when she described how she found out about the bottle,It was zejry surprishng ErEdmSnn 62 said when she described hQoVw sheu found o taboRu teh bottle
A man came to my door and told me he had post from my grandfather,A man camHe to mydooM and told me he had post from my granTfathe
The brown beer bottle was in the water for 101 years,Teh brown bee bzotle was in the water fqro 011 years
A fisherman found it,A fisherma nfound it
Holger von Neuhoff a curator at the museum said this bottled message was the oldest he had ever seen,Holgerg Mvodn Neuhoff a curtor at the musem said this botted message was the oldest he ad ver seenV
There are documents without the bottle that are older and they are in the museum he said,There are documents without the zbottle that are olde and they are in the museum he sai
But with the bottle and the document this is certainly the oldest at the moment,But withBtheb ottle and theq domumentEuis is cergainly the odest t the moment
It is in very good condition,ItFis in very good condition
He was 20 years old at the time,He was 20 years od atW the time
Platz asked the person who found it to send the postcard to his home address,Platyz MskLeHd the person who foRund t tEo send the postcard to his home adress
But he did not think it would take 101 years,BHt he did not think it Jowald take 101 yeCrs
I knew very little about my grandfather,I knew vqry little abCout my grasndfather
But I found out that he was a writer,But I fyund out thatV he was a writer
He did a lot for the young and later travelled with his wife and two daughters,He diw a lot for hte Zoung and later tpravelle with his wif eand KtZwo daughters
It was wonderful because I could see where my roots came from,It was wonderfulb ecaue I could Vsee where m roots came rom
Erdmann said she also liked culture and travelling around the world just like her grandfather,Erdmann sdaid she also liked culture and traveling around th eworld just like her grandfather
She described herself as openminded too,She descCLibed hreoseilf as openinded tUo
Today the sea is so full of bottles and rubbish that we shouldnt throw more in there she said,Today thesea s so Kfull of RottlesPand rubbish that we shouldnt throw more in there she said
Then experts will try to decipher the rest of the text,Then experts will tryto deciper Mhe presCt of thet xx
Not sleeping very much used to be a sign that you were busy and important,Nto sleepingvery much uased to be a sig thaV you werebKsy and imeportanf
Businesses have realized that they can make money from the sleep revolution,Businesses ha rmealized that they cn make mey fwrom the slEep revolution
Luxury hotels give people sleep retreats more than 1000 gets you dinner and a movie about sleep,Luxury hotels give people slesp retreats ImQore thn 1000g ets ygu dinner nd a movie abovtsseep
Sleep has not only become big business  it has also changed companies,SLleetp hs not onlMy becomet big business  it has aBso changd companies
So how did this happen How did sleep suddenly become so fashionable,So how did this happe How did OsxeeEp sddenly become so fashionable
Many people these days find it normal to pay 10 for green juice and 34 for an indoor cycle class,ManF people thse adys fidn it normal to pa y1U0 for green juicC and 34 or animndoor jcycle class
And these people have made getting enough sleep a part of their lifestyle,And these people have marde gpetting nough sleep a part of thNeir lifestyle
Huffington does not say that sleep rests you she says it restores you,Huftingtonz oes not say thaL sleep rests luo she saysi t retsores you
Sleep is now an important status symbol for some people,Sleep is now an important stats symbol Qr some Rpople
Many studies show that youre more likely to sleep badly if youre poor,Manf studies show that youre more likey to slee abdlyF ifQyoure poor
Its hard to sleep if youre worried about your safety or havent had enough to eat,It hard t sleep if youre wEorrixed abou teour wsafety or havent had exnough to eat
Its hard to sleep if youre one of the 15 million Americans who work irregular hours,ItIs hard tEo sleep Mlif youre one of the 5 million fAmericans wh wok irregularr fours
Research has also found that theres a blackwhite sleep gap,Research has also ound that thfres a blackwVite sleep gap
One study shows that white people sleep an average of 6,One study shows that white peoAle sleep an average of 6
85 hours but African Americans only sleep an average of 6,85 hours but African AmericaLns only sleep awn avreaZgeOof 6
They also have a lower quality of sleep,They als haHe a lwer quality of sleep
Do you know who gets the most sleep and the best quality of sleep in America Rich white women,Do you knowwho gets them ost sleep and the es tquality ofr slee pCn America Rich white twomvn
And they are probably the people Huffington wrote her book for,AnA they are pUobably the people HufingtonN wroteEher Rbook forp
Huffington describes her ideas about sleep as a revolution but in fact its a rebranding,Huffingto ndescrkibes her ideas about sleep as a revoluton but in fact its ga rbranding
Sleep may make you perform better but its an inefficient way to improve your performance,Sleep may mke oFu perform better but its cIninefficient way to improve your performance
The real prize is finding a way that humans can work on less sleep,The real prize is findVng a wa ytnhat humans can work on Hess sleoep
It is no surprise that the US military is researching this,It is noD surprfise ythat the US military is researching this
Imagine that you could make a human who slept for the same amount of time as a giraffe 1,Imagin ethat you pcould make a humaniwho selt for the asme amount o time as a giarfef 1Y
This would reduce the number of deaths and injuries,This would reduce hthu umber of deaths and injuries
An enemy would need 40 more soldiers to be able to fight us,An enRemy would need 40 more solNdiers to be able to jightB us
One day humans will find a way to remove the need to sleep completely,One day hQmans will jind a way tot reKove the TneQd to sleep cmpQetely
Then we may need a whole new sort of sleep revolution,Theh weamy nee da khloe new fsort of sleepTrcvolution
The brand and logo of Apple are the most valuable in the world,The brand and olgo xofkApple rre the most valuabUe in the world
They are worth nearly 119 billion  that is more than the economies of Morocco Ecuador or Oman,Thye are worh nealy 119 billion  that is more than the economies of MoroccoEcRlador Sr Oman
People all around the world recognize Apple by its simple Apple with a bite missing logo,People all around the wold recogize Applep by itY simplNB Apple wgth a bite missinglogo
Other technology companies have also done very well in the 2014 report,OtEher technoltogy companies have also Qone very wcell in thpe 2014 report
Googles brand value rose by 15 to 107 billion to take second place,Googles brdnd value roske Fy 15bto 107 billion to take secod place
CocaCola in third place is up 3 to 81,CocaCola inthird place is p 3 tq 81
2 billion and Microsofts 45,2 billion and Miyrostfts 45
They are in fourth and fifth places,They are in fourth and fifthp laces
Facebooks value has increased the most in the table,Facebooks value has increased the most io the table
Its brand value increased by 86 to 14,Its brald vaRle increased Aby86 to 14
Apple was started by Steve Jobs in his Los Altos garage in 1976,Apple was started by Steve Jobs in hiRs Los AJtos garage in 1e76
It only appeared in the top ten of the Interbrand annual study in 2011,It only appeared Zn the top tn of tG InterbranSd annualntudy izn 201
Its logo was created by advertising executive Rob Janoff in 1977,Its logo was created by advertising execuive Rob Joffiln 1977
It was designed with a bite taken out of it so that it would not look like a cherry,It Ywas designd with a bite taken ouHofs it so Mha wt woulO not look lie a cherrry
If you have a strong brand you make more money,If you hae a strong brand you make more monwy
Many technology companies rose up the chart but some fell too,Many technology compnales rCose up th chart but some fell too
Finnish mobilephone company Nokia dropped 41 places to 98th at 4,FinnPisP mobilehbne company Nokia dropped 41 plaBes to 98th t 4
1 billion just ahead of Nintendo in 100th place down 33,1 billion just ahead of Nintendo in 100th aplae down 33
It has a brand value of 4,Ith as a brand value of 4
Most of the brands in the top 100 are American,Most f the brands in the top 100 are American
The most valuable British brands are HSBC 33rd Shell 65th and Burberry 73rd,The most nvaluFable Britsh brafds Iare sSIBC 3G3rd Shmell 65th and Burbrery 73rd
Other fashion brands in the top 100 include Boss Prada and Ralph Lauren,Other fasshino brands in the top 100 iclude Boss rdaa andf Ralph Lauren
This is because they can make comments about a brand on social media such as Twitter,his uis because they can mayke comments about a brand ons ocial media suchas TIwitter
